year,retail,farm,percent
1997,88,94,30
1998,92,93,28
1999,102,105,29
2000,97,90,26
2001,100,100,28
2002,102,107,29
2003,107,107,28
2004,111,99,25
2005,115,115,28
2006,122,130,30
2007,129,141,30
2008,132,128,27
2009,122,122,28
2010,123,129,29
2011,126,147,33
