year,retail,farm,percent
2000,1.373583333,0.237247807,18
2001,1.213,0.173245614,15
2002,1.336333333,0.247609649,19
2003,1.3855,0.20752193,16
2004,1.251166667,0.189013158,16
2005,1.339583333,0.245394737,19
2006,1.451833333,0.232467105,17
2007,1.746416667,0.417182018,25
2008,1.99,0.5955,31
2009,1.668,0.2326,15
2010,1.61,0.31,20
2011,1.61,0.24,16
2012,1.57,0.2573,17
