year,retail,farm,percent
2000,0.99 ,0.16 ,17
2001,0.94 ,0.15 ,18
2002,0.95 ,0.15 ,19
2003,0.94 ,0.17 ,20
2004,0.94 ,0.20 ,21
2005,0.94 ,0.19 ,23
2006,0.90 ,0.16 ,21
2007,0.96 ,0.17 ,22
2008,0.98 ,0.20 ,23
2009,1.04 ,0.18 ,19
2010,1.02 ,0.18 ,21
2011,1.09 ,0.17 ,21
