year,retail,farm,percent
2000,0.74 ,0.17 ,26
2001,0.75 ,0.16 ,26
2002,0.77 ,0.19 ,28
2003,0.72 ,0.18 ,27
2004,0.67 ,0.14 ,20
2005,0.70 ,0.13 ,19
2006,0.67 ,0.13 ,21
2007,0.69 ,0.17 ,25
2008,0.64 ,0.14 ,24
2009,0.67 ,0.18 ,29
2010,0.63 ,0.15 ,27
2011,0.67 ,0.16 ,26
2012,0.61 ,0.14 ,21
