year,retail,farm,percent
2000,2.043466667,0.738636364,39
2001,2.487636364,0.902,39
2002,2.476,0.84725,37
2003,2.572,0.924583333,39
2004,2.977,0.907833333,33
2005,2.814666667,0.832416667,32
2006,2.722111111,0.846916667,34
2007,2.937,0.936,35
2008,3.051,1.021,36
2009,2.8,0.96,37
2010,2.91,1.21,45
2011,2.77,1.04,41
