year,retail,farm,percent
2000,2.78 ,1.34 ,48
2001,2.77 ,1.28 ,54
2002,2.64 ,1.33 ,47
2003,2.64 ,1.30 ,49
2004,2.82 ,1.23 ,51
2005,2.81 ,1.34 ,50
2006,2.73 ,1.35 ,45
2007,2.89 ,1.30 ,56
2008,2.90 ,1.33 ,53
2009,2.54 ,1.38 ,46
2010,2.62 ,1.35 ,54
2011,2.69 ,1.30 ,58
2012,2.59 ,1.32 ,55
