year,retail,farm,percent
2000,0.92 ,0.19 ,22
2001,0.84 ,0.15 ,22
2002,0.90 ,0.17 ,26
2003,0.89 ,0.18 ,27
2004,0.91 ,0.22 ,26
2005,0.80 ,0.11 ,19
2006,0.85 ,0.13 ,27
2007,0.84 ,0.13 ,30
2008,0.97 ,0.19 ,31
2009,0.94 ,0.13 ,21
2010,0.96 ,0.13 ,22
2011,1.04 ,0.12 ,25
