year,retail,farm,percent
2000,0.655,0.076288889,12
2001,0.620333333,0.112444444,19
2002,0.682583333,0.127955556,19
2003,0.703181818,0.089544444,13
2004,0.793888889,0.153,20
2005,0.970833333,0.153,16
2006,1.078,0.123744444,12
2007,1.300272727,0.158644444,13
2008,1.114416667,0.213044444,20
2009,1.085416667,0.1229,12
2010,1.05,0.15,14
2011,1.1,0.14544,14
2012,1.05,0.153066667,15
