year,retail,farm,percent
2004,3.84,0.78,20
2005,3.74,0.71,19
2006,3.75,0.6,16
2007,3.95,0.8,20
2008,4.21,0.77,18
2009,4.32,0.59,14
2010,4.46,0.82,18
2011,4.93,0.97,20
2012,5.04,0.81,16
