year,retail,farm,percent
2000,2.52 ,1.05 ,42
2001,3.17 ,1.27 ,47
2002,2.93 ,1.02 ,33
2003,2.69 ,0.98 ,36
2004,3.11 ,1.30 ,49
2005,2.89 ,1.22 ,44
2006,2.59 ,1.07 ,38
2007,2.50 ,0.83 ,41
2008,2.40 ,0.88 ,42
2009,2.32 ,1.01 ,37
2010,2.51 ,1.19 ,50
2011,2.71 ,1.13 ,50
