year,retail,farm,percent
2000,313.9344848,88.85045429,28
2001,326.437165,108.0209129,33
2002,328.3907088,87.19950117,27
2003,328,91.48,28
2004,352.0285884,117.2783926,33
2005,356.3263848,104.4093073,29
2006,354.372841,92.11788574,26
2007,380.4917213,133.054588,35
2008,411.0177963,132.586539,32
2009,383.76,92.3948,24
2010,390.32,116.1796,30
2011,416.56,142.7088,34
2012,423.12,130.8164,31
