year,retail,farm,percent
2000,1.1381,0.3135,29
2001,0.9846,0.2787,30
2002,1.1938,0.3223,28
2003,1.2,0.337,30
2004,1.195,0.3338,29
2005,1.318,0.298,24
2006,1.446,0.353,26
2007,1.586,0.383,25
2008,1.675,0.364,23
2009,1.598,0.408,27
2010,1.58,0.38,25
2011,1.7,0.42,26
2012,1.6,0.3,20
