year,retail,farm,percent
2000,1.382,0.3093,24.86734202
2001,1.3203,0.3473,29.22736415
2002,1.3245,0.339,28.43840443
2003,1.509,0.3684,27.1261321
2004,1.606,0.4372,30.2476823
2005,1.611,0.415,28.62266363
2006,1.732,0.41,26.30228381
2007,1.647,0.401,27.05255346
2008,1.744,0.462,29.43425076
2009,1.623,0.4568,31.27267748
2010,1.69,0.56,37
2011,1.67,0.51,34
2012,1.46,0.35,27
