year,retail,farm,percent
2000,1.74525,0.343125,22
2001,1.8497,0.375625,22
2002,1.887166667,0.3740625,22
2003,1.899090909,0.37,21
2004,2.059083333,0.45,24
2005,2.078333333,0.316875,17
2006,2.246416667,0.593571429,29
2007,2.092,0.4821,25
2008,2.212,0.2319,12
2009,2.11,0.4,21
2010,2.18,0.26,13
2011,2.39,0.54,25
