year,retail,farm,percent
2000,3.83,1.03,27
2001,4.03,1.28,32
2002,4.22,1.06,25
2003,3.95,1.18,30
2004,4.27,1.6,37
2005,4.38,1.44,33
2006,4.25,1.21,28
2007,4.23,1.78,42
2008,4.73,1.8,38
2009,4.67,1.17,25
2010,4.71,1.46,31
2011,5.42,1.83,34
2012,5.63,1.72,31
