year,retail,farm,percent
2000,1.35225,0.276,22
2001,1.4858,0.307,22
2002,1.5165,0.306,21
2003,1.4695,0.2905,21
2004,1.422,0.274,20
2005,1.583833333,0.359,24
2006,1.636666667,0.3895,25
2007,1.563,0.32,22
2008,1.641,0.3,19
2009,1.63,0.36,24
2010,1.75,0.33,20
2011,1.64,0.391,25
