year,retail,farm,percent
2000,2.52,1.05,42
2001,3.3,1.55,47
2002,3.07,1,33
2003,2.81,1.01,36
2004,3.49,1.71,49
2005,3.28,1.43,44
2006,2.92,1.11,38
2007,3.03,1.24,41
2008,3.14,1.31,42
2009,2.84,1.05,37
2010,3.12,1.55,50
2011,3.6,1.81,50
